unlabeled,labeled
tnni1 enst00000555948,50183
ube3a enst00000232165,52146
vps35,53150
znf423 enst00000567169,55282
bcar1 enst00000420641,4807
zpbp2,56259
rps6kb1 enst00000443572,41497
lrrc61 enst00000493307,26206
myl10,29914
thrb enst00000356447,48849
il17rc enst00000455057,22535
heca,20856
micu1 enst00000418483,28354
majin enst00000432175,26835
dpp3 enst00000532677,14001
igdcc4,22302
dcaf15,12555
snapc2,45386
zswim9,56372
steap3,46849
ctnna2 enst00000496558,11745
mgme1 enst00000377704,28278
tgif2-rab5if,48712
lipi,25776
ap4s1 enst00000334725,2806
mdm2 enst00000517852,27734
c11orf91,5735
fmn2 enst00000543681,17691
rgs22 enst00000523437,40308
cgref1 enst00000404694,9359
rin2 enst00000440354,40540
sbf1 enst00000348911,42121
pcdha10 enst00000562220,34541
pcdhb7,34595
gfm2 enst00000427854,18854
slco6a1 enst00000379807,44931
s100a16 enst00000368706,41875
tnnt3 enst00000641119,50221
myl6b,29947
dnmt3l,13862
uaca,51942
zscan10 enst00000575108,56283
cox4i1 enst00000564903,10924
afg3l2,1443
bsg enst00000545507,5497
znf160,54757
klrg2 enst00000393039,24730
atp6v0a4 enst00000645515,4282
tmem70 enst00000517439,49831
grin1,20061
rc3h1,39892
irf6,23189
nr2f2 enst00000421109,32003
hmbox1 enst00000558662,21292
tm4sf1 enst00000472441,49155
rps18 enst00000474973,41385
oca2,32695
ac069368.1,457
nme4,31509
il34 enst00000288098,22685
bcas3 enst00000407086,4822
llgl2 enst00000577200,25810
mettl23 enst00000589977,28081
tyk2 enst00000529370,51902
tns1 enst00000446688,50260
wdr4 enst00000330317,53437
tmem212 enst00000619900,49588
eif4g1 enst00000350481,14952
ugt8,52370
htn1 enst00000610341,21912
c8orf34 enst00000337103,6445
pde7a enst00000396642,34910
stag2,46727
trim34,50883
uqcc3 enst00000377953,52527
al592490.1,1902
npas3 enst00000551492,31750
ube3a enst00000635914,52153
rasgrp1 enst00000539159,39544
hnrnpc enst00000556897,21447
or56a5,33391
fshb enst00000533718,18055
sox6 enst00000528429,45752
sdhd enst00000528021,42489
c16orf74 enst00000602914,5876
nt5c enst00000582160,32272
znf468,55363
znf880 enst00000424032,56204
cdk15,8657
epas1,15396
msh2,29355
cenpu,8997
strip2,47044
entpd4 enst00000417069,15366
plg,36293
bicd2 enst00000375512,5106
dmrtc1b enst00000373533,13598
scn4b enst00000529878,42313
csnk1a1l,11511
mrpl52 enst00000397505,29161
klc1 enst00000634686,24490
znf821 enst00000565601,56133
adora3,1359
ptprc enst00000413409,38622
znf281 enst00000367352,55019
vash2,52886
zbtb8os enst00000341885,54163
zc4h2 enst00000447788,54223
camkk1 enst00000348335,6958
baz1b,4741
qki enst00000275262,38875
ndufv3,30828
muc1 enst00000611577,29683
flvcr1,17672
nipal3 enst00000339255,31307
susd4,47316
b3galt6,4542
mto1 enst00000498286,29604
znf800,56099
ephb4 enst00000360620,15509
zfat,54391
or13j1,33036
kin,24434
banf1 enst00000527348,4691
tespa1 enst00000524622,48503
arhgef7,3357
ubl3,52180
postn enst00000379742,36862
thtpa enst00000554789,48872
ptgr2 enst00000555228,38427
ppp2r5c enst00000350249,37291
itgax,23321
znf500,55417
pcbp3 enst00000400310,34453
ost4 enst00000429985,33752
trim28 enst00000341753,50868
dbp,12528
psg9 enst00000291752,38138
msh2 enst00000406134,29356
antxr1,2631
necab3 enst00000375238,30845
rarg enst00000543726,39484
carhsp1 enst00000562843,7147
crhr1 enst00000577353,11264
sumo1 enst00000392244,47232
prr30 enst00000432962,37906
lzts3 enst00000645462,26620
pabpc1l enst00000372824,33958
pbrm1 enst00000410007,34409
ep300,15392
camk1,6918
megf10,27924
pcdha2,34549
cep85l enst00000392500,9127
rab11b enst00000594216,38936
papss1,34161
sorcs2,45693
nr3c1,32006
cpeb4 enst00000520867,11020
slc16a10,43869
btn3a2 enst00000377708,5596
adgrb3 enst00000546190,1188
cep135,9027
aldh5a1 enst00000357578,1988
naaladl2,30217
anapc10 enst00000512680,2257
ct47a3,11642
rbm15 enst00000487146,39710
fcrla enst00000367949,17228
vps29 enst00000546588,53141
pym1 enst00000398213,38856
slc6a12 enst00000359674,44765
epb42 enst00000540029,15453
kremen2,24815
mrpl28 enst00000429738,29086
rpusd1,41530
dnaja3 enst00000355296,13686
cdyl2 enst00000566173,8829
def8,12934
atpaf2,4379
mrpl4 enst00000590669,29117
has1 enst00000601714,20636
chrna1 enst00000409323,9598
scygr10,42417
asap2 enst00000315273,3741
umps enst00000628619,52418
thoc7,48830
cidec,9725
rab24,38981
slc9a6 enst00000636206,44886
gprasp1,19842
il11ra enst00000441545,22482
dnaaf3 enst00000455045,13631
pcdha12,34544
sncb enst00000614675,45420
ndufaf2 enst00000511107,30723
cklf-cmtm1 enst00000527729,9808
hpr enst00000356967,21659
card14,7112
zbtb7c enst00000590800,54158
acp7,756
znf552,55529
dis3l2 enst00000409401,13373
grhl1 enst00000405379,19996
sec24b,42576
angpt4,2319
frrs1 enst00000646001,18018
c2cd2l,6191
plekha7 enst00000531066,36204
dpp3,13998
smarcd1,45107
or6c75 enst00000343399,33495
hif1a enst00000323441,21046
elac2 enst00000426905,15003
bcas3 enst00000589222,4826
mtcl1 enst00000517570,29487
uba52 enst00000596304,51973
adgrl2 enst00000370728,1272
ift172,22260
tcf4 enst00000561992,48220
ndufa3 enst00000471292,30702
rnf167 enst00000572430,40802
tsr1,51476
galnt1,18468
alkbh7 enst00000599849,2086
npas1 enst00000439365,31740
mcfd2 enst00000409207,27595
tagln3 enst00000273368,47749
st8sia4 enst00000451528,46709
hla-dqb1 enst00000434651,21252
fkbp5 enst00000357266,17588
col4a6,10675
znf331 enst00000449416,55107
zbtb45 enst00000354590,54138
dock10,13881
slc44a5 enst00000370859,44598
inpp5a enst00000368593,22906
fads1 enst00000460649,16173
lrtomt enst00000539587,26303
syt10,47531
cd9 enst00000538834,8385
snw1 enst00000261531,45528
nudt7,32447
ccl13,7834
spg7 enst00000646716,46066
srcap enst00000395059,46325
cox5a enst00000562233,10928
ints14 enst00000431261,22986
mapk10 enst00000641952,27161
prkaa1,37595
reln enst00000424685,40071
hbp1 enst00000468410,20699
sybu enst00000433638,47368
tti2,51623
cacng7 enst00000391766,6793
dis3l2,13370
thada enst00000405975,48745
clcn2,9861
aasdh enst00000502617,59
palm enst00000592155,34097
trmt9b,51099
sf3a3,43133
ac118549.1,531
abi1 enst00000376139,269
nutm2b enst00000372321,32566
parva,34277
slc22a6,44042
tpbgl,50463
arntl2 enst00000261178,3590
cacnb3 enst00000536187,6747
tmem106c enst00000550552,49305
clec2d enst00000261339,10002
bclaf3 enst00000379682,4953
c3orf18 enst00000449241,6268
znf426,55284
dmkn enst00000472252,13565
zhx1,54535
trmt10b enst00000377754,51069
phka1 enst00000541944,35517
alg13 enst00000482742,2036
gypc enst00000409836,20479
tmbim1 enst00000258412,49186
ppm1g,37102
gstm4,20256
mindy1,28425
cr1 enst00000400960,11139
man1c1,26876
mib2 enst00000378712,28325
usp28 enst00000545540,52689
atxn2 enst00000616825,4410
prmt8,37758
eif4g1 enst00000441154,14961
lars2 enst00000265537,25225
rbm46 enst00000514866,39785
myl6,29935
stxbp6 enst00000546511,47135
mark3 enst00000216288,27323
cln6 enst00000637494,10130
man2c1 enst00000618257,26891
npm1 enst00000393820,31848
gstt2,20273
krtap10-3,24919
pcif1,34674
sh3yl1 enst00000405430,43401
sned1 enst00000405547,45427
ctnna2 enst00000409266,11743
slc26a6,44221
add1 enst00000398129,1155
apbb2,2852
rps14 enst00000407193,41361
csnk1a1 enst00000377843,11505
dnajc21 enst00000642285,13755
unc5cl enst00000373164,52457
bzw2 enst00000405202,5650
znf844 enst00000441304,56178
kcnu1 enst00000518904,24022
cntrl enst00000238341,10519
entr1 enst00000298537,15379
axin2 enst00000611991,4504
socs6 enst00000582322,45642
nfatc1 enst00000586434,31071
znf568 enst00000586353,55578
ppm1n enst00000456399,37123
leng8 enst00000616932,25455
vsx1 enst00000376707,53254
manbal enst00000397152,26901
blcap enst00000397137,5175
tnks enst00000518281,50167
acp7 enst00000594229,757
atg3,4025
usp39 enst00000409025,52725
limch1,25672
tsbp1 enst00000442822,51256
cpsf4 enst00000451876,11089
gapvd1 enst00000312123,18546
cela3b,8889
hspa8 enst00000533540,21862
htatip2 enst00000443524,21899
clec4e enst00000446457,10020
arhgap5 enst00000539826,3259
gcnt3,18728
vps53 enst00000574029,53195
grb7 enst00000394209,19980
thoc1 enst00000631280,48813
arrdc2,3658
greb1 enst00000381483,19985
cacnb4 enst00000534999,6757
eppin enst00000336443,15554
nek11 enst00000510688,30926
cep70 enst00000474781,9097
lrch3 enst00000428136,26007
spry1 enst00000339241,46242
naa15,30155
tgfbi,48680
kcnip4 enst00000509207,23824
rrp1,41590
camkmt enst00000613618,6975
dapl1,12442
atp5pf enst00000400099,4250
fam207a,16550
ggt1,18910
sgo1 enst00000421451,43276
ablim2 enst00000505872,312
mcm7 enst00000354230,27626
neil2 enst00000436750,30908
fam49b enst00000639004,16697
c1orf74,6080
hes2 enst00000377837,20936
mpeg1,28845
spef2 enst00000637569,46032
stx3,47089
cdk2ap2 enst00000531506,8691
tmem9b enst00000525069,49899
vezt enst00000261219,52995
acin1 enst00000457657,677
cnih1,10350
ighv3-72,22363
bmf enst00000561282,5224
prss54 enst00000543437,38023
cacna1g enst00000515411,6694
rgpd5 enst00000393283,40270
insig2 enst00000614681,22950
fermt3,17295
snph enst00000614659,45437
iars enst00000443024,22033
olig1,32842
nr4a1 enst00000548232,32024
hmga2 enst00000425208,21320
asb16,3763
med24 enst00000394128,27846
cdh7 enst00000536984,8594
caps enst00000452990,7090
sp140l,45776
gal3st2,18443
asb3 enst00000394717,3770
rel enst00000394479,40051
mrpl35 enst00000254644,29100
rnf4 enst00000541204,40911
khdc1 enst00000257765,24161
pcm1 enst00000518537,34693
hyi enst00000583037,22006
elp4 enst00000640961,15167
cat,7293
fchsd2 enst00000409853,17195
rab30,39005
bivm-ercc5 enst00000639132,5169
metrn,28039
parn enst00000341484,34227
atl2 enst00000452935,4059
me3 enst00000323418,27761
scyl1 enst00000279270,42426
th,48737
podn,36609
c22orf23 enst00000619227,6180
st8sia4,46708
dse enst00000331677,14112
btn3a2 enst00000396948,5598
notch4,31700
eys enst00000342421,16093
napepld enst00000465647,30321
akap14 enst00000334356,1738
adar,1098
tsen15 enst00000647465,51314
trim67 enst00000444294,50982
kiaa1841 enst00000612149,24298
grip1,20080
zscan30,56321
alkbh6 enst00000252984,2081
znf302 enst00000423823,55066
cflar enst00000440180,9326
cyp20a1,12206
pcdh15 enst00000614895,34510
mark2 enst00000408948,27316
abcd2,185
rabgap1l enst00000357444,39146
spocd1 enst00000257100,46169
st3gal3 enst00000372365,46608
zc3h13 enst00000282007,54188
atraid enst00000380171,4383
smurf2,45349
ace enst00000413513,658
ube3a enst00000428984,52147
acsm2b enst00000565232,820
spop enst00000503676,46197
map3k3 enst00000577395,26991
tsen54,51324
dym enst00000442713,14323
znf235,54928
sumo1 enst00000409368,47236
nol10 enst00000538384,31599
guca1c enst00000471108,20392
uck1 enst00000372210,52276
ccl19,7844
f13b,16121
ablim1 enst00000392955,304
dupd1,14224
aldh3b1 enst00000612297,1977
atxn2 enst00000550104,4408
cdkn3,8771
rpgrip1l enst00000566096,41093
pgap3 enst00000429199,35331
ctage1,11661
ndufb3,30757
dsn1 enst00000373750,14129
selenos enst00000531964,42669
oard1,32635
nsd1 enst00000511258,32200
unc5c enst00000504962,52453
cenpm enst00000402338,8968
hacl1 enst00000457447,20567
b3gnt5,4561
rest enst00000611211,40120
h2afy enst00000510038,20522
hmmr enst00000358715,21368
ermard,15731
reln,40069
pi4kb enst00000368874,35605
hyou1 enst00000532519,22016
trim49d1 enst00000420869,50936
plcb1 enst00000378641,36098
iffo1 enst00000336604,22137
emc6,15198
pdk2 enst00000614357,34983
pik3r2 enst00000617130,35787
tead2,48394
tmem143,49395
arhgap25 enst00000409030,3193
maff enst00000426621,26703
gmppb enst00000308388,19288
hyal1 enst00000457214,21983
tatdn2 enst00000448281,47865
abhd18 enst00000611882,250
mon2 enst00000552115,28763
kcnb1,23730
il17rel,22543
chrd enst00000348986,9572
nadk2,30244
cep57l1 enst00000521277,9082
runx2 enst00000647337,41798
fam83a enst00000522648,16759
csgalnact1 enst00000332246,11459
aqp7 enst00000379506,3054
mns1,28676
rab34 enst00000450529,39022
rccd1,39939
mefv enst00000541159,27923
crlf1,11300
wdr83os enst00000222190,53531
cd209 enst00000394161,8153
sh3yl1 enst00000403658,43399
eif2b4 enst00000616081,14864
cdh26 enst00000244049,8579
sox18,45730
lrch3 enst00000441090,26009
nek1 enst00000510533,30914
sorbs2 enst00000393528,45681
nt5dc1,32292
hist1h2ac,21111
lpl,25982
tmem175 enst00000508204,49478
exoc1 enst00000349598,15992
march1 enst00000274056,27269
shank3 enst00000445220,43415
thrb,48847
smarca5,45091
rps6ka2 enst00000265678,41472
hip1 enst00000434438,21080
rims2 enst00000262231,40528
mapkap1 enst00000394063,27230
bx255925.3,5641
slfnl1,44956
cdk11b enst00000629289,8645
rpap2,41056
thnsl1 enst00000376356,48805
thpo enst00000204615,48836
kcnma1 enst00000640807,23940
igfbp6,22343
npc2 enst00000557510,31767
dglucy,13157
dnaja4 enst00000489435,13692
lat,25235
ap1g1,2727
cuedc1 enst00000407144,11914
slc25a10 enst00000350690,44082
cxxc1 enst00000589940,12061
hsd11b1l enst00000423665,21754
wipf1,53607
adamts20 enst00000553158,1061
zdhhc9,54325
cst3 enst00000398409,11596
ac008397.2,377
gip,19018
mllt6,28564
kiaa1328 enst00000591619,24274
tcf4,48210
or1m1 enst00000429566,33075
sertad3 enst00000392028,43042
itsn2 enst00000361999,23442
ccdc88a,7777
slc2a10,44279
dusp18 enst00000407308,14260
brd1 enst00000216267,5394
selenot enst00000477889,42671
rpl14,41123
pnrc1 enst00000369472,36592
cldn15,9904
defb107b,12960
stmn2 enst00000220876,46945
tpd52l3,50498
bex4,5067
inhbc,22864
cdk17,8666
ganc,18529
slfn5 enst00000542451,44954
trpv3 enst00000572519,51226
rnf166,40795
rab40c enst00000538492,39072
atp12a enst00000381946,4099
haghl enst00000564545,20591
krba2 enst00000331336,24800
pimreg enst00000570337,35817
rffl,40180
kif2b,24391
supt4h1 enst00000577396,47283
nhlh1,31241
hp1bp3 enst00000375000,21632
magi2 enst00000628980,26808
dnm1 enst00000475805,13822
pnpo enst00000225573,36586
gnaq,19330
scel enst00000377246,42204
syne2 enst00000554584,47444
fto enst00000431610,18092
cox4i1,10921
slc2a4 enst00000571308,44303
magi3,26814
mutyh enst00000529984,29744
mllt10 enst00000377059,28553
uevld,52295
slc22a12 enst00000377572,44006
ac068775.1,454
hsfy2 enst00000382852,21825
c19orf84 enst00000570516,5992
bcas3 enst00000588874,4825
map2k2,26936
cep41 enst00000616628,9064
asns enst00000422745,3860
lamtor4 enst00000488241,25168
stom enst00000538954,46961
mad2l2,26660
ttc12 enst00000314756,51514
pcdh9,34532
bmp4,5238
srsf5 enst00000394366,46454
serf2 enst00000409646,42902
sema4a enst00000368284,42723
sgpl1,43284
tmem254 enst00000372274,49696
ei24 enst00000534546,14818
c11orf58 enst00000528634,5708
katnal1 enst00000380617,23660
lrrc63,26207
ttc8 enst00000380656,51610
smim22 enst00000615471,45228
cnot1 enst00000441024,10401
usp6 enst00000250066,52776
rara enst00000425707,39477
ac015813.2,423
pgc enst00000425343,35341
lyrm4 enst00000464010,26565
c6orf120,6371
agpat3 enst00000398058,1546
gcg enst00000375497,18687
atad2b,3940
ccdc88a enst00000646796,7787
st3gal5 enst00000640982,46650
vsx1 enst00000429762,53255
krtap10-12,24916
crybb3 enst00000404334,11369
slc6a1 enst00000647194,44760
rest enst00000640168,40126
pcdhb11 enst00000624887,34577
slit3 enst00000404867,44975
rad23a enst00000316856,39230
nt5c3a enst00000409467,32286
ak1,1682
il11ra,22480
nudt2,32425
cfp enst00000377005,9332
pcdh11x enst00000504220,34484
znf559 enst00000393883,55542
kir3dl1 enst00000326542,24445
fam168b,16437
scrn3 enst00000409673,42403
slc4a5,44660
npepl1,31770
ppp1r9a enst00000433881,37247
atf6,3982
cry2 enst00000443527,11348
otub2 enst00000553723,33796
dnase1l3 enst00000483681,13807
nmu,31570
ccdc158 enst00000434846,7558
ppard enst00000418635,36949
senp6 enst00000370010,42783
immp2l enst00000447215,22790
mpp6,28904
tmem71,49832
pak3 enst00000519681,34072
ac007998.2,374
tcf4 enst00000544241,48218
pign enst00000638936,35690
znf30 enst00000601957,55059
arhgef4,3345
atg16l1,4015
rnf149,40778
xpnpep3 enst00000614001,53823
cyp2d7 enst00000614967,12250
fbln1 enst00000402984,16933
htd2 enst00000481972,21909
txndc15,51843
rgs14,40293
gpsm3 enst00000619085,19889
gnat1 enst00000433068,19345
pex26,35198
kdm3a enst00000409064,24107
sptbn1 enst00000615901,46279
kiaa0895,24222
sun1 enst00000457378,47253
fignl1 enst00000613602,17535
slc26a7 enst00000617078,44230
brd3os enst00000603928,5406
cdc42 enst00000344548,8462
lgi1,25536
dennd5a,13030
ahdc1,1598
tbce,48017
stil enst00000337817,46858
camk2b enst00000353625,6931
dph5 enst00000427040,13982
dbx1,12535
c12orf65,5776
ppp1r12a enst00000437004,37151
mbip enst00000359527,27486
znf821,56129
cdh13 enst00000431540,8535
rpl23a enst00000496182,41173
mrc2,28968
adnp2,1346
rpl36 enst00000347512,41242
prkd2 enst00000600194,37676
abcc8 enst00000642271,171
wnt2,53663
cldn15 enst00000308344,9905
c8orf59 enst00000611854,6460
col9a3,10711
plcb4 enst00000378473,36113
tiam1,48896
cldnd1 enst00000394185,9945
tmem129 enst00000303277,49359
grid2 enst00000611049,20034
rab24 enst00000393611,38983
ptprd enst00000397606,38627
pnck enst00000370150,36512
fcrl2 enst00000368181,17210
traf5,50677
disc1 enst00000317586,13375
lexm,25487
gria4 enst00000525187,20028
drd2 enst00000542968,14075
fam216a,16578
lrmp,26043
spata13 enst00000399949,45894
alox5ap enst00000380490,2108
acot2 enst00000622407,712
arid3b enst00000346246,3405
adad2,959
nbr1,30476
faxdc2,16913
acsl1 enst00000513317,790
cldn24,9921
slc25a31,44147
tmem245,49673
mageb17,26755
arhgap23,3186
hpse2 enst00000404542,21684
zc3h12c enst00000528673,54184
cit,9770
sinhcaf enst00000539409,43610
il36rn,22692
fez2 enst00000305852,17311
vrk2 enst00000412104,53212
eif5b,14990
dpysl2,14040
defb119 enst00000376321,12972
cul1 enst00000409469,11918
pom121l12,36810
angpt2 enst00000338312,2316
maged4b enst00000335504,26787
nexmif enst00000642681,31031
apobec3a,2926
morc1,28766
armc8 enst00000491704,3548
dnajb11,13695
znf619 enst00000522736,55732
glt8d1 enst00000491606,19216
bmt2,5260
rps10 enst00000464218,41347
ube3a enst00000636667,52154
clybl enst00000376354,10230
palld enst00000261509,34091
srp72,46387
znf595 enst00000609518,55668
tmed7-ticam2 enst00000333314,49275
hipk2,21091
osbpl3 enst00000396431,33683
phtf2,35573
ndrg1 enst00000518176,30639
trpm6,51194
ddx3x,12845
morf4l2 enst00000360458,28780
riiad1,40498
mrln enst00000414264,28997
elp4,15155
camkk2,6960
krt4,24869
or10a7,32944
rapgef3,39432
fam19a2 enst00000551449,16531
tas2r20,47839
pak6 enst00000455577,34085
il12rb2 enst00000544434,22494
gfra1,18867
mapk8ip3,27213
ddx23,12822
al139260.3,1872
fam133a enst00000332647,16338
bricd5 enst00000566018,5442
itga3,23293
cep112,9011
znf507 enst00000544431,55433
ankmy1 enst00000405523,2392
cad,6804
slc4a5 enst00000394019,44664
rabl2b enst00000435118,39178
pik3r1 enst00000523872,35785
ramp3 enst00000496212,39357
gorasp1 enst00000479927,19541
stag1 enst00000236698,46723
nfkbiz enst00000326151,31191
rps6kc1 enst00000615329,41504
brox enst00000539697,5456
arl2bp enst00000562023,3469
gosr2 enst00000575949,19551
dtna enst00000598142,14173
znf468 enst00000243639,55364
pxmp4,38805
ednra,14582
plk2,36313
fcn1,17200
traf2,50654
fam153c enst00000507848,16391
azi2,4511
pdgfc enst00000422544,34942
mapk10 enst00000642013,27166
dcbld2 enst00000326857,12596
gabrb1,18346
polh enst00000372226,36682
shoc1 enst00000318737,43490
ptch1 enst00000421141,38355
naa10 enst00000393712,30153
smarca1,45053
ssr4 enst00000370086,46537
olfml3,32839
prrx1 enst00000497230,37972
lrrn2 enst00000367176,26266
glyctk enst00000473032,19247
ank3 enst00000460468,2354
sorl1,45699
cdkn3 enst00000556102,8777
evl enst00000555048,15958
man2c1 enst00000563622,26889
kat8 enst00000219797,23654
krtap16-1,24939
slc35a3 enst00000638371,44376
tmprss4 enst00000534111,49959
ano2 enst00000612575,2599
lig4,25624
slc46a3 enst00000266943,44612
sorbs1 enst00000361941,45670
gsg1l,20189
bsn,5500
sh3yl1 enst00000403712,43400
cd63 enst00000552067,8320
slc30a4,44322
pkm enst00000565154,35976
ctcf enst00000264010,11681
rrn3 enst00000327307,41582
cep112 enst00000535342,9013
adamtsl5 enst00000395467,1090
apoc4,2961
cdk15 enst00000434439,8660
slc4a3 enst00000317151,44652
pigt enst00000640210,35724
meltf,27977
brwd1 enst00000341322,5479
pparg enst00000397026,36957
rims1 enst00000425662,40519
surf4 enst00000371991,47303
ntrk1 enst00000392302,32346
pars2,34276
st6galnac3 enst00000621530,46675
evi5,15951
pgghg enst00000409479,35348
immp1l enst00000532287,22784
pga4 enst00000544899,35298
znf345 enst00000640438,55147
gramd1c enst00000440446,19935
traf4 enst00000444415,50675
lonp1 enst00000593119,25918
fbxo27 enst00000600828,17046
actn3,876
ac068790.8,455
mon2 enst00000552738,28764
mybpc1 enst00000541119,29824
mt1b,29440
ddx19b enst00000563392,12816
cpamd8,10986
numbl enst00000540131,32485
gtf3c2 enst00000264720,20353
fam161a,16416
smad1 enst00000394092,45016
gba3,18646
tmem165,49455
dkk2 enst00000510463,13399
