unlabeled,labeled
braf,70
kras,352
hras,308
nras,448
stk11,629
atm,39
nup214,458
gpc3,281
ptprt,530
kat7,333
birc6,66
cntnap2,139
sdhc,574
rgs7,551
zfhx3,700
tp63,665
robo2,557
znrf3,708
esr1,213
alk,18
lrp1b,369
srgap3,615
ncor2,432
nrg1,449
ctnnd2,161
eps15,203
gas7,270
ntrk3,456
gpc5,282
grin2a,284
runx1,565
ctnna2,158
nbea,426
snx29,607
csmd3,156
ptprd,528
kdm6a,337
cnbd1,136
erbb4,206
ciita,131
pax7,472
akt3,16
arid1b,31
dcc,170
trrap,674
ros1,558
tgfbr2,653
nfatc2,436
bcr,64
erg,212
prkcb,516
pcm1,477
numa1,457
ptprb,526
bard1,48
met,391
etv5,217
tal1,634
wdcp,687
etv6,218
epha3,201
erbb3,205
tnc,659
cux1,163
brd4,74
abl2,3
a1cf,0
rb1,543
cep89,123
cacna1d,80
prex2,512
cd28,105
sf3b1,584
prrx1,518
fam135b,225
tcf7l2,641
cdh10,111
fhit,251
ubr5,679
pbrm1,474
grm3,285
pik3r1,489
mtor,409
gli1,274
etv1,215
vav1,683
lef1,360
syk,633
map3k13,382
cltcl1,135
muc4,412
foxo3,263
kat6b,332
foxp1,265
fat1,234
cdh17,113
fgfr2,247
fat3,235
ptprc,527
myh11,419
arhgef10,27
col3a1,143
pax5,471
il21r,318
lats2,357
ank1,20
kat6a,331
muc16,411
arhgap26,25
bcl2,54
fli1,255
epha7,202
lasp1,355
rbm10,544
fnbp1,259
flt4,258
fas,233
myh9,420
bmp5,68
vti1a,685
kdm5a,335
dnm2,183
kif5b,342
rspo2,563
fcrl4,241
runx1t1,566
msi2,406
ptpn13,524
arnt,33
nsd2,451
chst11,129
lhfpl6,362
rnf43,556
spen,612
kiaa1549,341
abi1,1
sept9,578
gphn,283
lpp,367
chd4,126
blm,67
stat3,625
atr,42
bcl11b,53
csf1r,154
spop,613
acvr2a,8
fbxo11,238
fance,230
rgpd3,550
nsd1,450
epas1,200
stat5b,626
rad51b,537
znf521,707
usp6,681
nsd3,452
zmym2,701
stag1,623
atrx,43
mllt3,399
aldh2,17
etv4,216
fgfr1op,246
ctnnd1,160
wrn,690
ranbp2,540
mitf,393
knl1,350
fbxw7,239
camta1,82
tert,645
nfib,438
fbln2,237
arid2,32
tet2,647
mecom,388
zcchc8,698
crnkl1,151
prf1,513
mgmt,392
jak2,327
snd1,606
pot1,500
aff3,11
dnmt3a,184
ebf1,186
wif1,688
egfr,189
crtc3,153
kmt2c,348
brip1,75
map2k2,379
atp2b3,41
rabep1,533
ncoa2,430
jazf1,329
malt1,376
aff1,10
tfg,650
prdm16,510
rap1gds1,541
tp53,664
col2a1,142
ptprk,529
suz12,632
ppfibp1,504
casp8,87
usp8,682
tcf12,639
itk,325
chd2,125
creb3l2,148
mllt1,396
pbx1,475
ddr2,174
erc1,207
flt3,257
pdgfra,481
card11,84
golga5,279
ddx10,175
eml4,198
cdh11,112
rfwd3,549
setbp1,580
gopc,280
hsp90aa1,309
ar,23
cd209,103
akt1,14
pde4dip,479
sgk1,587
ndrg1,433
ext1,220
ktn1,353
cblb,92
p2ry8,465
smad2,597
ptch1,520
wnk2,689
polg,498
klf4,344
palb2,468
dicer1,181
fgfr4,249
amer1,19
baz1a,50
notch1,444
ncoa1,429
crtc1,152
notch2,445
n4bp2,423
tnfaip3,660
irs4,322
thrap3,654
kdr,338
usp44,680
dcaf12l2,169
smarca4,600
cdx2,121
pole,497
ikzf1,316
rara,542
tpr,668
ercc3,209
creb1,146
stag2,624
ss18,618
maml2,377
ntrk1,455
jak1,326
socs1,608
kit,343
foxo1,262
pik3cb,488
ccnd2,98
elf4,194
ext2,221
cdk12,114
xpo1,695
lck,358
bcl7a,58
ikbkb,315
tshr,677
cdk6,116
ezr,223
kmt2d,349
top1,663
bmpr1a,69
rnf213,555
afdn,9
cdh1,110
msn,407
hist1h4i,293
prdm2,511
pik3ca,487
herpud1,288
mdm4,387
nin,441
creb3l1,147
fancc,228
nutm1,460
larp4b,354
sept6,577
cdc73,109
wt1,691
gnaq,277
lcp1,359
zbtb16,697
sh3gl1,589
fat4,236
ccdc6,94
ss18l1,619
rac1,534
map2k4,380
ski,594
pax3,470
shtn1,590
srsf2,616
sdhaf2,572
gata2,272
picalm,486
cbl,91
prkar1a,515
raf1,538
trim33,672
rad17,535
hip1,291
cntrl,140
nbn,427
pax8,473
cd74,106
tet1,646
bcl11a,52
ncor1,431
bcorl1,63
cd274,104
nf2,435
apc,21
pten,521
mlh1,395
cdkn2a,119
vhl,684
smad4,599
ctnnb1,159
fgfr3,248
crebbp,149
tec,643
hey1,289
fh,250
ret,548
nthl1,454
hif1a,290
rad21,536
tsc2,676
plcg1,492
nup98,459
brca2,72
fgfr1,245
trim24,670
ddx3x,176
akap9,13
pdgfrb,482
fus,269
eif4a2,192
brca1,71
setd2,582
msh2,404
trip11,673
erbb2,204
msh6,405
cdk4,115
map3k1,381
btk,77
abl1,2
pim1,490
araf,24
ptpn11,523
setdb1,583
cxcr4,164
pml,493
itgav,324
tcf3,640
ackr3,4
pou5f1,502
daxx,168
lrig3,368
smarcb1,601
axin2,45
mllt10,397
arid1a,30
sfpq,585
bax,49
eed,188
nf1,434
casp9,88
ppp6c,507
ep300,199
kmt2a,347
per1,483
brd3,73
gna11,276
npm1,446
nkx2-1,442
fancf,231
ezh2,222
fip1l1,252
aff4,12
ddit3,173
fancd2,229
med12,389
klk2,346
fanca,227
acvr1,7
idh2,313
polq,499
mycn,417
foxl2,261
recql4,546
birc3,65
ddx5,177
gmps,275
src,614
sufu,631
cebpa,122
axin1,44
jak3,328
cdkn2c,120
smo,605
gata1,271
ptk6,522
prpf40b,517
pafah1b2,467
kdm5c,336
slc34a2,595
bub1b,78
casp3,86
pms1,494
bcor,62
pparg,503
pou2af1,501
dek,179
ddb2,172
eif3e,191
ppp2r1a,506
cul3,162
tnfrsf14,661
znf384,704
mpl,402
men1,390
hnf1a,298
cyld,165
acsl6,6
atic,38
chek2,127
myod1,422
ercc2,208
tsc1,675
gnas,278
map2k1,378
phox2b,485
idh1,312
sdha,571
pabpc1,466
ppm1d,505
macc1,373
etnk1,214
atf1,37
myo5a,421
ewsr1,219
tpm3,666
hmga2,297
sirpa,591
bclaf1,61
cbfb,90
atp1a1,40
mapk1,383
zeb1,699
tent5c,644
fes,243
cpeb3,145
tbx3,637
nt5c2,453
cbfa2t3,89
cblc,93
rspo3,564
drosha,185
lifr,363
plag1,491
tcl1a,642
arhgef10l,28
cltc,134
prcc,508
qki,532
smad3,598
ralgds,539
fancg,232
muc1,410
il6st,319
keap1,340
hook3,300
tpm4,667
il7r,320
cic,130
clip1,132
asxl1,35
gata3,273
lmo1,365
s100a7,567
chic2,128
specc1,611
tfrc,652
sdc4,570
dgcr8,180
tmprss2,658
isx,323
aspscr1,34
naca,425
cars,85
pold1,496
col1a1,141
lats1,356
b2m,46
arhgap5,26
wwtr1,692
ccnb1ip1,95
btg1,76
ctcf,157
hnrnpa2b1,299
fkbp9,253
mb21d2,385
akt2,15
rmi2,554
cysltr2,167
smc1a,604
kdsr,339
tbl1xr1,636
ercc5,211
cyp2c8,166
ptpn6,525
ell,196
fam47c,226
psip1,519
rpl5,561
prdm1,509
leprotl1,361
ywhae,696
hoxa11,301
stil,628
jun,330
strn,630
sh2b3,588
calr,81
pdgfb,480
elk4,195
igf2bp2,314
fcgr2b,240
nono,443
smarcd1,602
traf7,669
rel,547
sdhb,573
mutyh,413
eln,197
crlf2,150
foxo4,264
tlx3,656
tfe3,648
fubp1,268
bcl2l12,55
olig2,463
bcl6,57
lztr1,372
lsm14a,370
trim27,671
hoxa13,302
arhgef12,29
asxl2,36
cnbp,137
hsp90ab1,310
lmo2,366
max,384
ssx1,620
bcl9,59
mn1,400
irf4,321
phf6,484
sbds,569
rhoa,552
bcl3,56
mdm2,386
nckipsd,428
cox6c,144
tfeb,649
lmna,364
c15orf65,79
hlf,295
dctn1,171
flcn,254
zrsr2,709
nfkbie,440
rhoh,553
sfrp4,586
omd,464
clp1,133
hoxc11,304
six1,592
hist1h3b,292
u2af1,678
myb,414
bcl9l,60
cdkn1b,118
bap1,47
srsf3,617
klf6,345
mnx1,401
flna,256
znf479,706
ccr7,102
cdkn1a,117
tfpt,651
hoxa9,303
hoxc13,305
nab2,424
foxa1,260
znf429,705
eif1ax,190
sall4,568
pms2,495
elf3,193
setd1b,581
acsl3,5
smarce1,603
ect2l,187
hla-a,294
rpn1,562
nfe2l2,437
myc,415
tcea1,638
ddx6,178
lyl1,371
pwwp2a,531
znf331,703
cd79a,107
rbm15,545
ccr4,101
dnajb1,182
bcl10,51
tal2,635
nr4a3,447
mycl,416
prkaca,514
stat6,627
ccne1,100
pdcd1lg2,478
ccnd1,97
cnot3,138
mtcp1,408
cant1,83
patz1,469
mrtfa,403
maf,374
xpc,694
tmem127,657
h3f3b,287
il2,317
set,579
nutm2b,461
nfkb2,439
mlf1,394
kcnj5,334
tlx1,655
slc45a3,596
hoxd13,307
ccnc,96
fen1,242
zmym3,702
ercc4,210
six2,593
sdhd,575
h3f3a,286
chchd7,124
xpa,693
cd79b,108
mllt11,398
sept5,576
csf3r,155
fam131b,224
tnfrsf17,662
nutm2d,462
rpl10,559
apobec3b,22
foxr1,266
knstrn,351
was,686
myd88,418
pcbp1,476
sox2,609
hoxd11,306
fev,244
mafb,375
fstl3,267
ccnd3,99
id3,311
hmga1,296
sox21,610
rpl22,560
ssx4,622
ssx2,621
