unlabeled,labeled
pancreas,22
thyroid,40
skin,34
lung,18
haematopoietic and lymphoid tissue,14
ovary,21
biliary tract,3
stomach,37
bone,4
liver,17
soft tissue,36
large intestine,16
breast,5
central nervous system,6
upper aerodigestive tract,41
cervix,7
pleura,30
eye,9
autonomic ganglia,2
small intestine,35
prostate,31
endometrium,8
urinary tract,42
testis,38
adrenal gland,1
meninges,19
salivary gland,33
pituitary,28
peritoneum,27
kidney,15
genital tract,13
oesophagus,20
thymus,39
vulva,44
NS,0
gastrointestinal tract (site indeterminate),12
paratesticular tissues,23
parathyroid,24
penis,25
retroperitoneum,32
placenta,29
vagina,43
fallopian tube,10
female genital tract (site indeterminate),11
perineum,26
