unlabeled,labeled
carcinoma,19
malignant melanoma,78
lymphoid neoplasm,76
benign melanocytic nevus,14
ewings sarcoma-peripheral primitive neuroectodermal tumour,38
adenoma-nodule-goitre,4
malignant fibrous histiocytoma-pleomorphic sarcoma,77
serrated polyp,117
liposarcoma,74
low malignant potential (borderline) tumour,75
glioma,52
adenoma,1
other,97
rhabdomyosarcoma,113
mesothelioma,86
haematopoietic neoplasm,58
retinoblastoma,110
neuroblastoma,90
primitive neuroectodermal tumour-medulloblastoma,107
germ cell tumour,48
papilloma,101
sarcoma,114
pheochromocytoma,105
meningioma,85
myxoma,89
pancreatic intraepithelial neoplasia (panin),99
leiomyosarcoma,71
aberrant crypt foci,0
angiosarcoma,12
carcinoid-endocrine tumour,18
adrenal cortical carcinoma,7
adrenal cortical adenoma,6
fibrosarcoma,42
hyperplasia,60
leiomyoma,69
synovial sarcoma,122
chondrosarcoma,22
in situ epithelial neoplasm,62
gastrointestinal stromal tumour,47
rhabdoid tumour,111
atypical teratoid-rhabdoid tumour,13
osteosarcoma,96
in situ neoplasm,63
malignant melanoma of soft parts-clear cell sarcoma,79
desmoid tumour-fibromatosis,28
adnexal tumour,5
juvenile angiofibroma,66
wilms tumour,126
alveolar soft part sarcoma,10
craniopharyngioma,26
calcifying odontogenic cyst,16
carcinoma in situ,20
paraganglioma,102
leiomyoblastoma,68
ns,93
renal cell carcinoma,109
haemangioblastoma,55
odontogenic keratocyst,94
endolymphatic sac tumour,31
sex cord-stromal tumour,118
adenoma malignum,2
adenoma-hyperplasia ns,3
adrenal cortical hyperplasia,8
chronic thyroiditis,25
angiofibroma,11
lentigo,72
malignant peripheral nerve sheath tumour,80
schwannoma,115
neurofibroma,91
epidermal nevus,35
lipoma,73
gist tumourlet(hyalinizing stromal tumour;minute gastric sclerosing stromal tumour;gross icc hyperplasia),51
dermatofibrosarcoma protuberans,27
haemangioma,57
endometrial stromal sarcoma,33
thymoma,124
thymic carcinoma,123
chordoma,23
endometrial intraepithelial neoplasia,32
epithelioid sarcoma,37
fibroepithelial neoplasm,40
glomus tumour,53
kaposi sarcoma,67
inflammatory myofibroblastic tumour,64
hydatiform mole,59
endometriosis,34
melanocytoma,83
ganglioneuroma,46
melanocytic neoplasm,82
smooth muscle tumour of uncertain malignant potential,120
adrenal cortical neoplasm,9
melanocytosis,84
cemento-ossifying fibroma,21
fibrous dysplasia,43
leiomyomatosis peritonealis disseminata,70
rhabdomyoma,112
desmoplastic fibroma,29
fibroma,41
overgrowth syndrome,98
solitary fibrous tumour,121
giant cell tumour of tendon sheath,50
pulmonary blastoma,108
desmoplastic small round cell tumour,30
intranodal palisaded myofibroblastoma,65
myopericytoma,88
perivascular epithelioid cell tumour (pecoma),104
medulloepithelioma,81
small round cell tumour,119
ganglioneuroblastoma,45
olfactory neuroblastoma,95
haemangioendothelioma,56
papillary tumour of the pineal region,100
neuronal tumour,92
fibrous hamartoma of infancy,44
perineurioma,103
choriocarcinoma,24
pineocytoma,106
myoepithelial carcinoma,87
undifferentiated endometrial sarcoma,125
sclerosing epithelioid fibrosarcoma,116
granular cell tumour,54
calcifying epithelial odontogenic tumour,15
female adnexal tumour of probable wolffian origin,39
cancer,17
in situ b cell neoplasm,61
epithelioid inflammatory myofibroblastic sarcoma,36
giant cell tumour,49
